#
# Optical constants of amorphous carbon ACH2
# from Zubko et al. (1996)
# extended to the hard X ray region by V.Z.
#
# wavelength         n - 1             k
#    um
#
8.85097946e-05  -1.84492917e-06  8.56631873e-10
8.88997476e-05  -1.85933755e-06  8.73370368e-10
8.92914188e-05  -1.88139116e-06  8.90348443e-10
8.96848155e-05  -1.89076462e-06  9.07252045e-10
9.00799454e-05  -1.91216690e-06  9.24836042e-10
9.04768162e-05  -1.92253617e-06  9.42862376e-10
9.08754356e-05  -1.94690753e-06  9.60809639e-10
9.12758111e-05  -1.97398300e-06  9.79285128e-10
9.16779506e-05  -1.99629006e-06  9.98443447e-10
9.20818618e-05  -2.01959892e-06  1.01751773e-09
9.24875526e-05  -2.04718107e-06  1.03692937e-09
9.28950307e-05  -2.06378845e-06  1.05726371e-09
9.33043041e-05  -2.08853006e-06  1.07750885e-09
9.37153807e-05  -2.10829959e-06  1.09788669e-09
9.41282683e-05  -2.12026819e-06  1.11947935e-09
9.45429751e-05  -2.13393712e-06  1.14097730e-09
9.49595089e-05  -2.15315373e-06  1.16238095e-09
9.53778779e-05  -2.17662473e-06  1.18530873e-09
9.57980901e-05  -2.18833516e-06  1.20814423e-09
9.62201537e-05  -2.21311477e-06  1.23087956e-09
9.66440768e-05  -2.23152496e-06  1.25496034e-09
9.70698676e-05  -2.25270546e-06  1.27919692e-09
9.74975343e-05  -2.27653000e-06  1.30332719e-09
9.79270852e-05  -2.29373927e-06  1.32863017e-09
9.83585286e-05  -2.31560819e-06  1.35437701e-09
9.87918729e-05  -2.33870714e-06  1.38001090e-09
9.92271264e-05  -2.36108225e-06  1.40659238e-09
9.96642975e-05  -2.38875693e-06  1.43392821e-09
1.00103395e-04  -2.40589938e-06  1.46114414e-09
1.00544426e-04  -2.41886382e-06  1.48905751e-09
1.00987401e-04  -2.44885859e-06  1.51807167e-09
1.01432328e-04  -2.46851847e-06  1.54695856e-09
1.01879214e-04  -2.49274802e-06  1.57626258e-09
1.02328070e-04  -2.50957038e-06  1.60706585e-09
1.02778903e-04  -2.52853805e-06  1.63773400e-09
1.03231722e-04  -2.54931142e-06  1.66850137e-09
1.03686537e-04  -2.58178857e-06  1.70120235e-09
1.04143355e-04  -2.60558842e-06  1.73375990e-09
1.04602186e-04  -2.63303290e-06  1.76617463e-09
1.05063038e-04  -2.65292435e-06  1.80077464e-09
1.05525921e-04  -2.67919367e-06  1.83533862e-09
1.05990843e-04  -2.70551776e-06  1.86975100e-09
1.06457813e-04  -2.73351231e-06  1.90608326e-09
1.06926841e-04  -2.75390856e-06  1.94275911e-09
1.07397935e-04  -2.77473853e-06  1.97927408e-09
1.07871105e-04  -2.79714636e-06  2.01742711e-09
1.08346359e-04  -2.82491558e-06  2.05635734e-09
1.08823708e-04  -2.85407755e-06  2.09511681e-09
1.09303159e-04  -2.88249626e-06  2.13517901e-09
1.09784723e-04  -2.90717985e-06  2.17650148e-09
1.10268408e-04  -2.92657162e-06  2.21764268e-09
1.10754225e-04  -2.95177278e-06  2.25970893e-09
1.11242181e-04  -2.98453659e-06  2.30357934e-09
1.11732288e-04  -3.01710468e-06  2.34725731e-09
1.12224554e-04  -3.04043745e-06  2.39141699e-09
1.12718988e-04  -3.07335819e-06  2.43792890e-09
1.13215601e-04  -3.10699120e-06  2.48423678e-09
1.13714402e-04  -3.13349400e-06  2.53054486e-09
1.14215401e-04  -3.16056921e-06  2.57992783e-09
1.14718607e-04  -3.19188037e-06  2.62909419e-09
1.15224030e-04  -3.21860715e-06  2.67804488e-09
1.15731679e-04  -3.24562270e-06  2.73010019e-09
1.16241566e-04  -3.28390940e-06  2.78225473e-09
1.16753698e-04  -3.31876288e-06  2.83418050e-09
1.17268087e-04  -3.34530718e-06  2.88884431e-09
1.17784743e-04  -3.36940356e-06  2.94420100e-09
1.18303674e-04  -3.40096926e-06  2.99931488e-09
1.18824892e-04  -3.42773717e-06  3.05669980e-09
1.19348406e-04  -3.45591466e-06  3.11542334e-09
1.19874227e-04  -3.48051840e-06  3.17388929e-09
1.20402364e-04  -3.50706871e-06  3.23411840e-09
1.20932828e-04  -3.54112814e-06  3.29642226e-09
1.21465629e-04  -3.57997848e-06  3.35845282e-09
1.22000778e-04  -3.61178359e-06  3.42166221e-09
1.22538284e-04  -3.64836420e-06  3.48775762e-09
1.23078159e-04  -3.67745058e-06  3.55356310e-09
1.23620412e-04  -3.71121336e-06  3.61989049e-09
1.24165054e-04  -3.73969263e-06  3.69002468e-09
1.24712096e-04  -3.76699435e-06  3.75985122e-09
1.25261548e-04  -3.80962588e-06  3.82945426e-09
1.25813420e-04  -3.83811852e-06  3.90382489e-09
1.26367724e-04  -3.86587269e-06  3.97786929e-09
1.26924470e-04  -3.89822764e-06  4.05158890e-09
1.27483669e-04  -3.93146671e-06  4.12977398e-09
1.28045332e-04  -3.97411638e-06  4.20834919e-09
1.28609469e-04  -4.01169829e-06  4.28657973e-09
1.29176092e-04  -4.04884034e-06  4.36862922e-09
1.29745211e-04  -4.09026542e-06  4.45194902e-09
1.30316838e-04  -4.12654478e-06  4.53490335e-09
1.30890982e-04  -4.15782701e-06  4.62098972e-09
1.31467657e-04  -4.18680934e-06  4.70934015e-09
1.32046872e-04  -4.22423998e-06  4.79730304e-09
1.32628639e-04  -4.27277581e-06  4.88762963e-09
1.33212969e-04  -4.31678230e-06  4.98134960e-09
1.33799874e-04  -4.35576524e-06  5.07465848e-09
1.34389365e-04  -4.39803165e-06  5.16943716e-09
1.34981452e-04  -4.43642984e-06  5.26884034e-09
1.35576148e-04  -4.46992153e-06  5.36780749e-09
1.36173464e-04  -4.50467815e-06  5.46723434e-09
1.36773412e-04  -4.53996397e-06  5.57264173e-09
1.37376003e-04  -4.58257086e-06  5.67758675e-09
1.37981249e-04  -4.62771647e-06  5.78207145e-09
1.38589162e-04  -4.67299941e-06  5.89365755e-09
1.39199753e-04  -4.71118304e-06  6.00496379e-09
1.39813034e-04  -4.75955138e-06  6.11578180e-09
1.40429017e-04  -4.80518197e-06  6.23287506e-09
1.41047713e-04  -4.84738768e-06  6.35089520e-09
1.41669136e-04  -4.88393771e-06  6.46839765e-09
1.42293297e-04  -4.92647053e-06  6.59123751e-09
1.42920207e-04  -4.97030481e-06  6.71634876e-09
1.43549879e-04  -5.01106440e-06  6.84091120e-09
1.44182326e-04  -5.05805987e-06  6.96977384e-09
1.44817559e-04  -5.09450000e-06  7.10242869e-09
1.45455591e-04  -5.13768643e-06  7.23450166e-09
1.46096433e-04  -5.18941753e-06  7.36968367e-09
1.46740100e-04  -5.23614315e-06  7.51035245e-09
1.47386601e-04  -5.27889781e-06  7.65040421e-09
1.48035952e-04  -5.32702760e-06  7.79220338e-09
1.48688163e-04  -5.37627327e-06  7.94135528e-09
1.49343248e-04  -5.42507296e-06  8.08985294e-09
1.50001218e-04  -5.46912225e-06  8.23856467e-09
1.50662088e-04  -5.52348445e-06  8.39667003e-09
1.51325869e-04  -5.57358335e-06  8.55408187e-09
1.51992575e-04  -5.62540038e-06  8.71080323e-09
1.52662218e-04  -5.68277458e-06  8.87759989e-09
1.53334812e-04  -5.72791264e-06  9.04446942e-09
1.54010368e-04  -5.77316187e-06  9.21060699e-09
1.54688901e-04  -5.83176805e-06  9.38559893e-09
1.55370424e-04  -5.88604987e-06  9.56249950e-09
1.56054949e-04  -5.93592060e-06  9.73862410e-09
1.56742490e-04  -5.99381574e-06  9.92216802e-09
1.57433060e-04  -6.04918454e-06  1.01096613e-08
1.58126672e-04  -6.10896235e-06  1.02963321e-08
1.58823341e-04  -6.16182367e-06  1.04888274e-08
1.59523079e-04  -6.21971654e-06  1.06875708e-08
1.60225899e-04  -6.27011177e-06  1.08854423e-08
1.60931817e-04  -6.32526229e-06  1.10873136e-08
1.61640844e-04  -6.38222554e-06  1.12979745e-08
1.62352995e-04  -6.44362458e-06  1.15077115e-08
1.63068284e-04  -6.49750417e-06  1.17193849e-08
1.63786724e-04  -6.55648179e-06  1.19426597e-08
1.64508329e-04  -6.61836178e-06  1.21649551e-08
1.65233113e-04  -6.67114457e-06  1.23868665e-08
1.65961091e-04  -6.73211438e-06  1.26235481e-08
1.66692276e-04  -6.79372157e-06  1.28591915e-08
1.67426683e-04  -6.85334867e-06  1.30938013e-08
1.68164325e-04  -6.91535129e-06  1.33426147e-08
1.68905217e-04  -6.97707083e-06  1.35922692e-08
1.69649373e-04  -7.04268278e-06  1.38408285e-08
1.70396808e-04  -7.10761337e-06  1.41018251e-08
1.71147536e-04  -7.17038987e-06  1.43664616e-08
1.71901571e-04  -7.23510137e-06  1.46299373e-08
1.72658928e-04  -7.29703660e-06  1.49036302e-08
1.73419622e-04  -7.36659691e-06  1.51840297e-08
1.74183668e-04  -7.43454152e-06  1.54631992e-08
1.74951080e-04  -7.50098597e-06  1.57501739e-08
1.75721873e-04  -7.57260201e-06  1.60473405e-08
1.76496061e-04  -7.64157874e-06  1.63432035e-08
1.77273661e-04  -7.70972048e-06  1.66440789e-08
1.78054686e-04  -7.78004491e-06  1.69589539e-08
1.78839153e-04  -7.84762146e-06  1.72724478e-08
1.79627076e-04  -7.91650823e-06  1.75878319e-08
1.80418470e-04  -7.98550423e-06  1.79214533e-08
1.81213351e-04  -8.05236778e-06  1.82536112e-08
1.82011734e-04  -8.12299726e-06  1.85843121e-08
1.82813634e-04  -8.19685508e-06  1.89375927e-08
1.83619067e-04  -8.26962031e-06  1.92894838e-08
1.84428049e-04  -8.34171056e-06  1.96398313e-08
1.85240595e-04  -8.41689829e-06  2.00103759e-08
1.86056721e-04  -8.49515503e-06  2.03832907e-08
1.86876443e-04  -8.57139331e-06  2.07545697e-08
1.87699776e-04  -8.64849265e-06  2.11430529e-08
1.88526737e-04  -8.72086485e-06  2.15380592e-08
1.89357340e-04  -8.80148834e-06  2.19313328e-08
1.90191604e-04  -8.88154727e-06  2.23385937e-08
1.91029543e-04  -8.95483468e-06  2.27570764e-08
1.91871173e-04  -9.03822905e-06  2.31737234e-08
1.92716512e-04  -9.11993745e-06  2.36006462e-08
1.93565575e-04  -9.19821394e-06  2.40440071e-08
1.94418379e-04  -9.28398440e-06  2.44854231e-08
1.95274940e-04  -9.36248209e-06  2.49329017e-08
1.96135275e-04  -9.44751164e-06  2.54025617e-08
1.96999400e-04  -9.53394579e-06  2.58701616e-08
1.97867333e-04  -9.61428850e-06  2.63391064e-08
1.98739089e-04  -9.70511276e-06  2.68366761e-08
1.99614686e-04  -9.78880769e-06  2.73320633e-08
2.00494141e-04  -9.87058375e-06  2.78252774e-08
2.01377471e-04  -9.95706382e-06  2.83506012e-08
2.02264692e-04  -1.00497127e-05  2.88754065e-08
2.03155822e-04  -1.01354208e-05  2.93979098e-08
