#
# Optical constants of organic refractory
# from Li & Greenberg (1997)
# extended to the hard X ray region by V.Z.
#
# wavelength         n - 1             k
#    um
#
3.25549685e-04  -2.41464000e-05  2.75907000e-07
3.30087846e-04  -2.48308000e-05  2.91677000e-07
3.34688442e-04  -2.55347000e-05  3.08326000e-07
3.39354147e-04  -2.62587000e-05  3.25908000e-07
3.44084055e-04  -2.70033000e-05  3.44478000e-07
3.48880995e-04  -2.77691000e-05  3.64071000e-07
3.53744016e-04  -2.85568000e-05  3.84755000e-07
3.58675083e-04  -2.93669000e-05  4.06589000e-07
3.63675244e-04  -3.02001000e-05  4.29636000e-07
3.68744487e-04  -3.10571000e-05  4.53960000e-07
3.73883845e-04  -3.19385000e-05  4.79637000e-07
3.79095545e-04  -3.28451000e-05  5.06747000e-07
3.84380796e-04  -3.37775000e-05  5.35355000e-07
3.89738406e-04  -3.47366000e-05  5.65548000e-07
3.95170737e-04  -3.57230000e-05  5.97417000e-07
4.00679040e-04  -3.67376000e-05  6.31050000e-07
4.06264623e-04  -3.77812000e-05  6.66545000e-07
4.11927482e-04  -3.88545000e-05  7.03999000e-07
4.17670331e-04  -3.99585000e-05  7.43515000e-07
4.23491769e-04  -4.10941000e-05  7.85229000e-07
4.29396079e-04  -4.22621000e-05  8.29236000e-07
4.35380305e-04  -4.34635000e-05  8.75684000e-07
4.41450475e-04  -4.46992000e-05  9.24671000e-07
4.47603527e-04  -4.59702000e-05  9.76351000e-07
4.53842583e-04  -4.72775000e-05  1.03089000e-06
4.60169316e-04  -4.86222000e-05  1.08844000e-06
4.66583735e-04  -5.00054000e-05  1.14917000e-06
4.73087549e-04  -5.14281000e-05  1.21320000e-06
4.79682556e-04  -5.28914000e-05  1.28076000e-06
4.86368747e-04  -5.43966000e-05  1.35203000e-06
4.93147964e-04  -5.59449000e-05  1.42722000e-06
5.00022152e-04  -5.75374000e-05  1.50653000e-06
5.06993364e-04  -5.91754000e-05  1.59019000e-06
5.14059517e-04  -6.08602000e-05  1.67843000e-06
5.21224742e-04  -6.25933000e-05  1.77150000e-06
5.28491278e-04  -6.43759000e-05  1.86967000e-06
5.35859188e-04  -6.62094000e-05  1.97320000e-06
5.43328417e-04  -6.80954000e-05  2.08239000e-06
5.50901233e-04  -7.00352000e-05  2.19754000e-06
5.58580041e-04  -7.20304000e-05  2.31897000e-06
5.66367402e-04  -7.40827000e-05  2.44705000e-06
5.74260723e-04  -7.61936000e-05  2.58208000e-06
5.82267914e-04  -7.83649000e-05  2.72446000e-06
5.90383619e-04  -8.05980000e-05  2.87461000e-06
5.98613281e-04  -8.28950000e-05  3.03294000e-06
6.06956904e-04  -8.52571000e-05  3.19985000e-06
6.15417408e-04  -8.76865000e-05  3.37538000e-06
6.23997909e-04  -9.01861000e-05  3.55938000e-06
6.32695287e-04  -9.27575000e-05  3.75444000e-06
6.41512554e-04  -9.54021000e-05  3.96018000e-06
6.50456341e-04  -9.81221000e-05  4.17720000e-06
6.59523379e-04  -1.00920000e-04  4.40612000e-06
6.68717076e-04  -1.03797000e-04  4.64759000e-06
6.78037378e-04  -1.06756000e-04  4.90229000e-06
6.87487887e-04  -1.09799000e-04  5.17098000e-06
6.97072464e-04  -1.12929000e-04  5.45437000e-06
7.06791230e-04  -1.16147000e-04  5.75287000e-06
7.16640018e-04  -1.19456000e-04  6.06718000e-06
7.26631042e-04  -1.22858000e-04  6.39727000e-06
7.36760273e-04  -1.26358000e-04  6.74470000e-06
7.47032029e-04  -1.29958000e-04  7.11103000e-06
7.57441720e-04  -1.33660000e-04  7.49724000e-06
7.68003068e-04  -1.37467000e-04  7.90441000e-06
7.78706776e-04  -1.41382000e-04  8.33372000e-06
7.89562386e-04  -1.45407000e-04  8.78638000e-06
8.00570039e-04  -1.49545000e-04  9.26344000e-06
8.11729707e-04  -1.53800000e-04  9.76645000e-06
8.23041175e-04  -1.58174000e-04  1.02967000e-05
8.34515255e-04  -1.62669000e-04  1.08544000e-05
8.46146506e-04  -1.67291000e-04  1.14390000e-05
8.57940528e-04  -1.72042000e-04  1.20539000e-05
8.69903375e-04  -1.76929000e-04  1.27013000e-05
8.82029058e-04  -1.81953000e-04  1.33835000e-05
8.94323584e-04  -1.87118000e-04  1.41023000e-05
9.06786841e-04  -1.92427000e-04  1.48597000e-05
9.19432122e-04  -1.97884000e-04  1.56578000e-05
9.32246026e-04  -2.03493000e-04  1.64989000e-05
9.45242192e-04  -2.09257000e-04  1.73850000e-05
9.58420825e-04  -2.15179000e-04  1.83188000e-05
9.71774320e-04  -2.21262000e-04  1.93030000e-05
9.85325280e-04  -2.27510000e-04  2.03360000e-05
9.99058479e-04  -2.33928000e-04  2.14197000e-05
1.01298150e-03  -2.40524000e-04  2.25573000e-05
1.02710260e-03  -2.47303000e-04  2.37522000e-05
1.04142200e-03  -2.54270000e-04  2.50104000e-05
1.05593971e-03  -2.61428000e-04  2.63351000e-05
